"","CHIA","SIMA","TERRchi","TRIAreg","TRIAsm","EPHA"
"1",287,5,4,0,0,0
"2",107,0,6,0,0,0
"3",93,2,3,0,0,0
"4",65,0,10,0,0,0
"5",66,1,5,0,1,0
"6",43,0,6,0,0,0
"7",155,0,5,0,0,0
"8",13,0,6,0,0,0
"9",274,9,12,0,0,0
"10",145,0,24,0,0,0
"11",83,0,9,0,0,0
"12",45,2,5,0,0,0
"13",248,3,8,0,0,0
"14",239,1,9,0,0,0
"15",35,0,1,0,0,0
"16",37,0,1,0,0,0
"17",346,2,17,0,0,0
"18",363,0,6,0,0,0
"19",84,0,9,0,0,0
"20",24,0,1,0,0,0
"21",57,1,9,0,0,0
"22",51,2,5,0,0,0
"23",72,0,7,0,0,0
"24",13,2,3,0,0,0
"25",177,7,11,0,0,0
"26",75,2,12,0,0,0
"27",65,4,9,0,0,1
"28",30,0,4,0,0,0
"29",66,1,5,0,0,0
"30",71,2,4,0,0,0
"31",25,2,3,0,0,0
"32",20,0,0,0,0,0
"33",132,1,14,0,0,0
"34",41,0,2,0,0,0
"35",42,1,0,0,0,0
"36",20,0,2,0,0,0
"37",25,0,2,0,0,0
"38",20,1,4,0,0,0
"39",19,0,2,0,0,0
"40",15,0,2,0,0,0
"41",11,0,4,0,0,0
"42",17,0,8,0,0,0
"43",15,0,7,0,0,0
"44",6,0,4,0,0,0
"69",36.5,0,5.5,0,0.5,0.5
"70",4,0,1.5,0,0,0
"71",7,0,1.5,0,0,0
"72",2.5,0,1.5,0,0,0
"73",2.5,0,3.5,0,0,0
"74",5.5,0,3.5,0,0.5,0
"75",3.5,0,0,0,0,0.5
"76",4.5,0,1.5,0,0,0
"77",17.5,0,3,0,0,0
"78",28.5,0,3,0,0,0.5
"79",11,0,1.5,0,0,0
"80",5.5,0,3,0,0,0
"81",43,0,9.5,0,0,0
"82",69.5,0,9.5,0,0,0.5
"83",30.5,0,2.5,0,0,0.5
"84",7,0,2,0,0,0
"85",12,0,8,0,0,0
"86",20.5,0.5,10,0,0,0
"87",8,0,9,0,0,0
"88",8.5,0,6.5,0,0,0
"89",115.5,0,32.5,0,0,0
"90",169.5,0.5,26.5,0,0,0
"91",28,0,17,0,0,0
"92",63.5,0,23.5,0,0.5,0
"93",201,0,22,0,0,0
"94",39.5,0,12,0,0,0
"95",39.5,0,8,0,0,0
"96",47,0,6.5,0,0,0
"97",161,0,13,0,0,0
"98",251,0,20,0,1,2
"99",154,0,16,0,0,0
"100",93,0,9,0,0,0
"101",301,0,5,0,0,3
"102",55,0,9,0,0,0
"103",95,0,7,0,0,1
"104",76,0,4,0,0,0
"105",226,0,18,0,0,0
"106",83,0,14,0,0,0
"107",52,0,3,0,0,0
"108",90,0,10,0,1,1
"109",100,0,14,0,0,1
"110",101,0,13,0,1,0
"111",17,0,2,0,0,0
"112",38,0,2,0,0,0
"113",63,0,3,0,0,0
"114",55,0,7,0,1,0
"115",31,1,11,0,0,0
"116",35,0,5,0,0,0
"141",64.5,4,7.5,0,0,0
"142",75.5,0.5,11.5,0,0,0
"143",50,2,3,0,0,0
"144",21,0.5,4.5,0,0,0
"145",10.5,1,4,0,0,0
"146",23,0.5,11.5,0,0,0
"147",17,0.5,6,0,0,0.5
"148",6,0.5,6.5,0,0,0
"149",50,2.5,5,0,0,0
"150",39.5,1,6.5,0,0,0
"151",12,0,4.5,0,0,0
"152",5.5,0.5,1.5,0,0,0
"153",50.5,0.5,4.5,0,0,0
"154",54.5,0.5,10.5,0,0,0
"155",9,0.5,2.5,0,0,0
"156",17,0,3.5,0,0,0
"157",104.5,1,2.5,0,0,0
"158",242,0,11,0,0,0
"159",71.5,0,2.5,0,0,0
"160",15,0.5,3,0,0,0
"161",20.5,0,5.5,0,0,0
"162",291,0.5,7.5,0,0,0.5
"163",46,0.5,3,0,0,0
"164",66,1,2.5,0,0,0
"165",7,0,2,0,0,0
"166",23,0,7.5,0,0,0
"167",23,0,5.5,0,0,0
"168",5,0,2.5,0,0,0
"169",24,0.5,2.5,0,0,0
"170",29,0,8.5,0,0,0
"171",20,0,3,0,0,0
"172",10,0,1.5,0,0,0
"173",74,0.5,3,0,0,0
"174",13.5,0,5,0,0,0
"175",22,0,1,0,0,0
"176",16,0,2,0,0,0
"177",20,0.5,6,0,0,0
"178",11,0,2.5,0,0,0
"179",22.5,0.5,14,0,0.5,0
"180",117,0,6.5,0,0.5,0
"181",14.5,0,4,0,0,0
"182",8.5,0,2,0,0,0
"183",9,0,1.5,0,0,0
"184",7.5,0,3.5,0,0,0
"185",19.5,0,3.5,0,0,0
"186",23,0,3.5,0,0.5,0
"187",20.5,0.5,5,0,0,0
"188",21,0,2,0,0,0
"213",9.5,0,3,0,0,0
"214",6,0,6.5,0,0,0.5
"215",10,0,1.5,0,0,0
"216",3.5,0,1.5,0,0,0
"217",4.5,0,4,0,0,0
"218",11,0,5.5,0,0,0
"219",7.5,0,5,0,0,0
"220",11.5,0,5.5,0,0,0.5
"221",5,0,1,0,0,0
"222",29,0,21.5,0,3,0
"223",6,0,2.5,0,0,0
"224",4,0,3.5,0,0,0
"225",11.5,0,3.5,0,0,0
"226",37,1,16.5,0,0,0
"227",12.5,0.5,4.5,0,0,0
"228",0.5,0,2.5,0,0,0
"229",10.5,0,7,0,0.5,0
"230",30,0,5.5,0,0,0
"231",14.5,0,11,0,0,0
"232",49.5,0,2.5,0,0,0
"233",20.5,0,3.5,0,0,0
"234",24,0,4,0,0,0
"235",5,0,1.5,0,0,0
"236",24,0,4,0,0,0
"237",36,0,12,0,0,0
"238",99.5,0,12.5,0,0.5,1
"239",29.5,0,10.5,0.5,1,0
"240",14.5,0.5,10.5,0,0.5,0.5
"241",149,0,14,0,5,0.5
"242",302,0,16,0.5,5,1
"243",242.5,0,23.5,1,8,0
"244",150.5,0,19,0.5,3.5,1
"245",93,0,3.5,0,2.5,1
"246",69.5,0,6.5,0,2.5,0.5
"247",40.5,0,4,0,0.5,0
"248",55.5,0,5,0,1.5,0.5
"249",118,0,11,0,4,0
"250",98.5,0,8.5,0,6.5,0.5
"251",74.5,0,22,0,12,0
"252",85.5,0,10.5,0,3.5,0.5
"253",46,0,5.5,0,4,1
"254",30.5,0.5,5.5,0,5,0
"255",14,0.5,6.5,0,5.5,0.5
"256",18,0,3.5,0,4,0
"257",79,0,2,0,3.5,0
"258",29.5,0,4,0,5,0
"259",50.5,1,3,3,0,0
"260",22,0,4,0,5,0
"285",25,1.5,1.5,0,0,0
"286",15.5,0,2,0,0,0
"287",8,0.5,1.5,0,0,0
"288",9.5,0,1,0,0,0
"289",11,0,6,0,0,0
"290",5.5,1,3,0,0,0
"291",5.5,0,6,0,0,0
"292",2.5,0,3,0,0,0
"293",38.5,0,2.5,0,0,0
"294",18.5,0,2,0,0,0
"295",7.5,0.5,1.5,0,0,0
"296",8,1,0.5,0,0,0
"297",7.5,0.5,1,0,0,0
"298",20,0,8.5,0,0,0
"299",3.5,0,2,0,0,0
"300",4,0,1.5,0,0,0
"301",25,0,1,0,0,0
"302",6,0.5,4.5,0,0,0
"303",3.5,0,0,0,0,0
"304",2.5,0,1.5,0,0,0
"305",3,0,1,0,0,0
"306",4,0,1.5,0,0,0
"307",2.5,0,3,0,0,0
"308",4,0,2,0,0,0
"309",2,0,2,0,0,0
"310",3,0,4,0,0,0
"311",4,0,1.5,0,0,0
"312",2.5,0,1.5,0,0,0
"313",4,0,2.5,0,0,0
"314",5.5,0,1,0,0,0
"315",3.5,0.5,0.5,0,0,0
"316",4.5,0,1,0,0,0
"317",1,0,2,0,0,0
"318",0,0,2,0,0,0
"319",2,0,3,0,0,0
"320",1.5,0,1.5,0,0,0
"321",11,0,0.5,0,0,0
"322",36,0,2,0,0,0
"323",13,0,0,0,0,0
"324",20,0.5,1.5,0,0.5,0
"325",6,0.5,8,0,0,0
"326",8.5,0.5,0,0,0,0
"327",4.5,0,3.5,0,0,0
"328",3,0,2.5,0,0,0
"329",12.5,0.5,2.5,0,0,0
"330",20.5,0.5,0.5,0,0.5,0
"331",5,1,1,0.5,0,0
"332",17,1.5,2,0,0.5,0
"357",17.5,0,8,0,0,0
"358",9.5,0,3,0,0,0
"359",4.5,0,6.5,0,0.5,0
"360",7,0,2.5,0,0,0
"361",17.5,0,3,0,0.5,0.5
"362",18.5,0.5,1.5,0,0,0
"363",38,0.5,2,0,0,0.5
"364",10.5,0,2.5,0,0.5,0
"365",11.5,0,1,0,0,0
"366",13,0,0.5,0,0,0
"367",2.5,0.5,4,0,0,0
"368",5,0.5,2,0,0,0
"369",10.5,0,0,0,0,0
"370",16,0,3.5,0,0,0
"371",8.5,0,1,0,0.5,0
"372",6.5,0,0.5,0,0,0
"373",39,0,16.5,0,0.5,0
"374",35,0.5,3.5,0,0,0.5
"375",22.5,0,7.5,0,0.5,0
"376",22,0.5,4,0,0.5,0
"377",244.5,0,14,0,1,1
"378",127,0,10.5,0,0,0.5
"379",49,0,5.5,0,0,0
"380",110,0,3.5,0,0,0
"381",121.5,0,5.5,0,0.5,1.5
"382",63.5,0.5,2.5,0.5,0,0
"383",54,0,3.5,3,0,0
"384",95.5,0.5,3,0,0,0.5
"385",50.5,0.5,6.5,0.5,2.5,0.5
"386",62.5,0.5,4,0,2.5,0.5
"387",37.5,1,0.5,0.5,3.5,0
"388",27,0.5,1.5,0,0.5,1
"389",45,0,1.5,0,0.5,0.5
"390",133.5,0,0,0,5,1.5
"391",41.5,0,1,0,3.5,0.5
"392",69,0,0.5,0,1,0.5
"393",29,0,2,0.5,0,0.5
"394",24.5,0,0.5,0,0.5,0
"395",18,0,1,0,0.5,0.5
"396",11,0,2.5,0,0.5,0
"397",4,0.5,2,0,0,1
"398",3,0.5,3.5,0,2.5,1
"399",4.5,0,3,0,0.5,1.5
"400",6,0,2,0,1,0.5
"401",12,0,1.5,0,0.5,0
"402",9.5,0,0,0,2,0
"403",14,0,1,0,0.5,0
"404",10,0.5,1,0,1,0
"481",1.5,0,7.5,0,0,0
"482",16,0,13,0,0,0
"483",0.5,0,8.5,0,0,0
"484",2,0,5.5,0,0,0
"485",13,0,78,0,0,0
"486",4,0,119.5,0,0,0
"487",5,0,80,0,0.5,0
"488",2.5,0,79,0,0,0
"489",3,0,11.5,0,0,0
"490",7,0,7,0,0,0
"491",0.5,0,7,0,0.5,0
"492",3,0,12.5,0,0,0
"493",2,0,14,0,0,0
"494",1,0,2,0,0,0
"495",0.5,0,6,0,0,0
"496",0.5,0,1.5,0,0,0
"497",3,0,7.5,0,0,0
"498",0,0,5,0,0,0
"499",4.5,0,3.5,0,0,0
"500",0.5,0,2.5,0,0,0
"501",8,0,13,0,0,0
"502",9.5,0,9,0,0,0
"503",13,0,5.5,0,0,0
"504",5,0,5.5,0,0,0
"505",22.9,0,12.9,0,0.4,0.4
"506",9.6,0,7,0,0.4,0
"507",8.5,0,4.4,0,0,0
"508",4.1,0,3,0,0,0
"509",10.6,0,17.5,0,0,0
"510",9.5,0,9.5,0,0,0
"511",4.7,0,3.7,0,0,0
"512",4.7,0,6.9,0,0,0
"513",3.6,0,7.9,0,0,0
"514",6.8,0.4,7.1,0,0,0
"515",2.5,0,5.4,0,0,0
"516",5.4,0,7.5,0,0,0
"525",4,0,8,0,0,0
"526",7.5,0,3.5,0,0,0
"527",2,0,4,0.5,0,0
"528",4.5,0,7,0.5,0,0
"529",3,0,10.5,0,0,0
"530",5,0,7,0,0,0
"531",13,0,4.5,0,0,0
"532",4.5,0,4,0,0,0
"533",0,0,2.5,0,0,0
"534",0.5,0,3.5,0,0,0
"535",1.5,0,2,0,0,0
"536",1.5,0,1.5,0,0,0
"537",1.5,0,6,0,0,0
"538",1,0,4,0,0,0
"539",1,0,4.5,0,0,0
"540",0,0,3.5,0,0,0
"541",2.5,0,7.5,0,0,0
"542",1.5,0,5,0,0,0
"543",1,0,7,0,0,0
"544",1.5,0,7,0,0,0
"545",1,0,33.5,0,0.5,0
"546",3,0,32.5,0,0,0
"547",1.5,0,27.5,0,0,0
"548",1.5,0,14,0,0,0
"549",4,0,4.5,0,0,0
"550",1,0,4,0,0,0
"551",0.5,0,6,0,0,0
"552",0,0,3,0,0.5,0
"565",6,0,11,0,0,0
"566",1.5,0,8.5,0,0,0
"567",0,0,47,0,0,0
"568",3,0,27,0,0,0
"569",0.5,0,1.5,0,0,0
"570",3.5,0,5,0,0.5,0.5
"571",2.5,0.5,4.5,0,0,0
"572",1.5,0,2,0,0,0
"573",5,0,9.5,0,0,0
"574",1.5,0,6,0,1,0
"575",1,0,6.5,0,0,0
"576",7.5,0,9.5,0,0,0
"577",6,0,11,0,0,0
"578",0,0,2.5,0,0,0
"579",1,0,2.5,0,0,0
"580",0,0,2.5,0,0,0
"581",1,0,7,0,0.5,0
"582",0.5,0,7,0,0,0
"583",0,0,2.5,0.5,1,0
"584",0.5,0,3.5,0,0,0
"585",2.5,0,13.5,0,0,0
"586",1.5,0,15.5,0,0,0
"587",2,0,24,0,0,0
"588",2,0,9,0,0,0
"589",3,0,17,0,0,0
"590",0,0,7.5,0,0,0
"591",0.5,0,15.5,0,0,0
"592",1,0,12,0,0,0
"593",8.5,0.5,14.5,0,0,0
"594",1,0,5.5,0,0.5,0
"595",1,0.5,5.5,0,0.5,0
"596",1,0,1,0,0,0
"597",0.5,0,8.5,0,0,0
"598",2.5,0,1.5,0,0.5,0
"599",0.5,0,3.5,0,0,0
"600",0,0,1.5,0,0,0
"601",1.5,11.5,15,0,0,0
"602",1.5,0.5,7.5,0,0,0
"603",1.5,1.5,6.5,0.5,0,0
"604",0.5,0,2.5,0,0,0
"605",0.5,0,10.5,0,0,0
"606",0.5,0,3,0,0,0
"607",1.5,0,5,0,0,0
"608",0,0,2.5,0,0,0
"609",1,0.5,7.5,0.5,0,0
"610",0.5,0,6.5,0,0,0.5
"611",0.5,0,1,0,0,0
"612",1,0,4,0,0,0
"637",2.5,0,13.5,0.5,0,0
"638",1.5,0,11.5,0,0,0
"639",2.5,0,7.5,0.5,0,0
"640",0.5,0,14,0,0,0
"641",3,0,15.5,0,0,0
"642",5,0,9.5,1.5,0,0
"643",2,0.5,6.5,0,0,0
"644",1,0,8.5,1,0,0
"645",0,0,3,0.5,0,0
"646",0,0,7.5,1,0,0
"647",0,0,3,0,0,0
"648",0,0,2,0,0,0
"649",0.5,0,7,0,0,0
"650",0.5,0,14,1,0,0
"651",0,0,7,0,0,0
"652",1,0,3.5,0.5,0,0
"653",1.5,0,12.5,0,0,0
"654",0,0,3,0,0,0
"655",0,0,4,0,0,0
"656",0.5,0,6.5,0,0,0
"661",0.5,0,4.5,1,0,0
"662",2,0,2.5,0,0,0
"663",0,0,2,0,0,0
"664",0.5,0,0.5,0,0,0
"665",0,0,2,4,0,0
"666",1,0,2.5,2,0,0
"667",0.5,0,1.5,2.5,0,0.5
"668",1,0,3,4.5,0,0
"669",0,0,0.5,3,0,0
"670",0,0,1.5,2,0,0
"671",0.5,0,0.5,0.5,0,0
"672",0,0,0,0.5,0,0
"673",2,0,1.5,2.5,0,0
"674",1.5,0,2,0.5,0,0
"675",0,0,1,1.5,0,0
"676",1.5,0.5,4,2.5,0,0
